City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Kirensk,RU,57.7853,108.1119,-11.74,100,100,2.24,overcast clouds
251,Mariental,NA,-24.6333,17.9667,71.06,33,1,10.31,clear sky
252,Villa Bruzual,VE,9.3328,-69.1208,96.66,24,99,5.21,overcast clouds
253,Mizan Teferi,ET,6.9833,35.5833,62.98,88,100,2.13,overcast clouds
254,Mata De Sao Joao,BR,-12.5303,-38.2992,85.75,71,47,6.42,scattered clouds
255,Sabha,LY,27.0377,14.4283,61.84,22,0,9.86,clear sky
256,Lasem,ID,-6.6922,111.4527,77.83,88,99,2.84,overcast clouds
257,Mar Del Plata,AR,-38.0023,-57.5575,84.22,82,0,9.22,clear sky
258,Rucheng,CN,32.3883,120.5553,49.96,82,0,5.12,clear sky
259,Pangnirtung,CA,66.1451,-65.7125,-22.85,97,100,4.99,overcast clouds
260,Auki,SB,-8.7676,160.7034,77.56,87,68,3.33,broken clouds
261,Stornoway,GB,58.2093,-6.3865,42.93,83,83,6.91,broken clouds
262,Zabkowice Slaskie,PL,50.5897,16.8124,46.15,63,42,6.26,scattered clouds
263,Yanam,IN,16.7333,82.2167,70.23,83,87,1.77,light rain
264,Glace Bay,CA,46.1969,-59.957,34.09,46,56,8.01,broken clouds
265,Geraldton,AU,-28.7667,114.6,66.61,88,5,0.0,clear sky
266,Salalah,OM,17.0151,54.0924,77.09,47,0,4.61,clear sky
267,Bonnyville,CA,54.2668,-110.735,10.2,89,100,10.02,overcast clouds
268,Angoche,MZ,-16.2325,39.9086,78.93,87,100,12.35,light rain
269,Fort Nelson,CA,58.8053,-122.7002,8.13,84,100,0.89,overcast clouds
270,Saint-Pierre,RE,-21.3393,55.4781,76.91,83,20,4.61,few clouds
271,Port Macquarie,AU,-31.4333,152.9167,62.89,78,98,8.7,overcast clouds
272,Rabat,MA,33.9911,-6.8401,50.07,94,75,9.22,broken clouds
273,Chuy,UY,-33.6971,-53.4616,73.06,51,0,8.66,clear sky
274,Najran,SA,17.4924,44.1277,68.67,17,3,1.43,clear sky
275,Sibolga,ID,1.7427,98.7792,77.07,88,97,2.66,light rain
276,Guerrero Negro,MX,27.9769,-114.0611,69.3,53,5,9.42,clear sky
277,Antofagasta,CL,-23.65,-70.4,73.22,60,20,9.95,few clouds
278,Ternate,ID,0.8,127.4,80.31,79,100,4.34,overcast clouds
279,Kismayo,SO,-0.3582,42.5454,79.02,78,89,15.52,overcast clouds
280,Ilo,PE,-17.6394,-71.3375,74.26,69,0,19.57,clear sky
281,Russell,US,32.3502,-85.1999,69.08,22,0,6.91,clear sky
282,Grindavik,IS,63.8424,-22.4338,40.95,75,75,32.21,broken clouds
283,Vila Velha,BR,-20.3297,-40.2925,84.15,76,20,17.27,few clouds
284,Peque,CO,7.0212,-75.9093,76.77,78,77,2.48,broken clouds
285,Sungaipenuh,ID,-2.0833,101.3833,64.29,96,100,0.81,overcast clouds
286,Visby,SE,57.6409,18.296,33.82,93,1,6.91,mist
287,San Cristobal,VE,7.7669,-72.225,73.58,70,100,1.01,overcast clouds
288,Atikokan,CA,48.7555,-91.6216,27.37,81,100,7.11,overcast clouds
289,San Francisco,US,37.7749,-122.4194,70.9,52,75,5.75,broken clouds
290,Cuiluan,CN,47.72,128.648,11.34,99,93,1.14,overcast clouds
291,Faya,SA,18.3851,42.4509,59.52,75,31,2.46,scattered clouds
292,Chilca,PE,-12.5211,-76.7372,75.13,72,33,7.18,scattered clouds
293,Xuddur,SO,4.1213,43.8894,80.89,43,11,13.11,few clouds
294,Olafsvik,IS,64.8945,-23.7142,37.69,75,99,38.9,light rain
295,Lucapa,AO,-8.4192,20.7447,66.38,93,100,2.08,overcast clouds
296,Lujan,AR,-34.5703,-59.105,83.01,52,10,1.99,clear sky
297,Gawler,AU,-34.6,138.7333,73.09,63,100,10.54,overcast clouds
298,Bontang,ID,0.1333,117.5,78.57,84,89,1.23,overcast clouds
299,Drayton Valley,CA,53.2168,-114.9854,38.84,92,29,3.56,scattered clouds
300,La Libertad,EC,-2.2333,-80.9,82.06,74,0,3.44,clear sky
301,Kovdor,RU,67.5662,30.4758,22.95,99,89,3.56,overcast clouds
302,Sirohi,IN,24.8833,72.8667,75.78,24,0,3.29,clear sky
303,Yazman,PK,29.1212,71.7446,84.92,15,0,9.15,clear sky
304,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,81,1,16.06,clear sky
305,Te Anau,NZ,-45.4167,167.7167,53.49,91,100,3.13,overcast clouds
306,Porterville,US,36.0652,-119.0168,71.76,34,0,4.61,clear sky
307,Mount Gambier,AU,-37.8333,140.7667,58.91,94,20,5.75,fog
308,Bloomfield,US,40.8068,-74.1854,57.83,37,0,14.97,clear sky
309,Nyuksenitsa,RU,60.4128,44.2397,15.6,96,48,5.35,scattered clouds
310,Genc,TR,38.7507,40.5603,19.35,90,93,4.76,overcast clouds
311,Lyngseidet,NO,69.5763,20.2189,36.36,63,100,10.07,overcast clouds
312,San Patricio,US,28.017,-97.5169,84.29,63,100,14.74,overcast clouds
313,Kahului,US,20.8947,-156.47,80.62,64,40,16.11,scattered clouds
314,Atar,MR,20.5169,-13.0499,75.97,18,0,9.69,clear sky
315,Greytown,ZA,-29.0642,30.5928,56.16,97,100,5.79,overcast clouds
316,Ancud,CL,-41.8697,-73.8203,72.23,70,91,3.76,overcast clouds
317,Abu Dhabi,AE,24.4667,54.3667,77.11,78,0,0.0,clear sky
318,Karema,TZ,-6.8205,30.4389,70.79,82,97,4.07,overcast clouds
319,North Platte,US,41.1239,-100.7654,51.12,37,8,21.0,clear sky
320,Shache,CN,38.4167,77.2406,58.28,25,80,2.8,broken clouds
321,Kaeo,NZ,-35.1,173.7833,63.32,96,100,3.0,overcast clouds
322,Pandan,PH,14.0453,124.1694,77.76,89,47,4.29,scattered clouds
323,Kulhudhuffushi,MV,6.6221,73.07,82.24,69,87,3.96,overcast clouds
324,Hamilton,US,39.1834,-84.5333,65.25,27,0,11.5,clear sky
325,Yulara,AU,-25.2406,130.9889,66.04,82,1,5.75,clear sky
326,Douglas,US,41.3,-96.167,58.59,35,0,10.36,clear sky
327,Storforshei,NO,66.4043,14.5233,28.18,79,0,4.61,clear sky
328,Bousse,BF,12.6606,-1.8922,90.57,22,81,8.28,broken clouds
329,Sao Sebastiao,BR,-23.76,-45.4097,77.23,94,100,2.53,moderate rain
330,Norman Wells,CA,65.282,-126.8329,-3.96,50,20,6.91,few clouds
331,Teguise,ES,29.0605,-13.564,52.02,67,40,14.97,scattered clouds
332,Nokaneng,BW,-19.6667,22.2667,71.53,83,97,3.98,light rain
333,Puri,IN,19.8,85.85,75.72,74,55,7.9,broken clouds
334,Usoke,TZ,-5.1667,32.35,69.6,77,100,1.41,overcast clouds
335,Ihosy,MG,-22.4,46.1167,68.38,93,100,8.34,light rain
336,Bayburt,TR,40.2589,40.2278,4.5,88,100,2.59,overcast clouds
337,Rondonopolis,BR,-16.4708,-54.6356,79.12,89,100,3.83,overcast clouds
338,Zyryanka,RU,65.75,150.85,-14.22,100,100,1.52,overcast clouds
339,Girua,BR,-28.0283,-54.3497,77.49,43,1,8.19,clear sky
340,Takoradi,GH,4.8845,-1.7554,80.98,83,100,11.3,moderate rain
341,Harper,LR,4.375,-7.7169,80.11,84,100,8.59,light rain
342,Bayonne,FR,43.3333,-1.4167,53.15,81,0,6.91,clear sky
343,Arman,RU,59.7,150.1667,14.02,90,99,3.85,overcast clouds
